Date,Order Number,Customer,Mode,Depart,Arrive,Valid_Order
16-Jun-22,533,Nike,Bike,16-06-2022 00:42,02-01-2021 09:20,1
24-Jun-22,541,Nike,Bike,24-06-2022 00:43,02-01-2021 09:49,1
14-Jul-22,561,Nike,Bike,14-07-2022 00:44,02-01-2021 11:01,1
03-Aug-22,581,Nike,Bike,03-08-2022 00:46,02-01-2021 12:13,1
23-Aug-22,601,Nike,Bike,23-08-2022 00:47,02-01-2021 13:25,1
12-Sep-22,621,Nike,Bike,12-09-2022 00:49,02-01-2021 14:37,1
02-Oct-22,641,Nike,Bike,02-10-2022 00:50,02-01-2021 15:49,1
10-Oct-22,649,Nike,Bike,10-10-2022 00:51,02-01-2021 16:17,1
30-Oct-22,669,Nike,Bike,30-10-2022 00:52,02-01-2021 17:29,1
19-Nov-22,689,Nike,Bike,19-11-2022 00:54,02-01-2021 18:41,1
09-Dec-22,709,Nike,Bike,09-12-2022 00:55,02-01-2021 19:53,1
29-Dec-22,729,Nike,Bike,29-12-2022 00:56,02-01-2021 21:05,1
18-Jan-23,749,Nike,Bike,18-01-2023 00:58,02-01-2021 22:17,1
26-Jan-23,757,Nike,Bike,26-01-2023 00:58,02-01-2021 22:46,1
15-Feb-23,777,Nike,Bike,15-02-2023 01:00,02-01-2021 23:58,1
07-Mar-23,797,Nike,Bike,07-03-2023 01:01,03-01-2021 01:10,1
27-Mar-23,817,Nike,Bike,27-03-2023 01:03,03-01-2021 02:22,1
16-Apr-23,837,Nike,Bike,16-04-2023 01:04,03-01-2021 03:34,1
06-May-23,857,Nike,Bike,06-05-2023 01:06,03-01-2021 04:46,1
14-May-23,865,Nike,Bike,14-05-2023 01:06,03-01-2021 05:15,1
03-Jun-23,885,Nike,Bike,03-06-2023 01:08,03-01-2021 06:27,1
23-Jun-23,905,Nike,Bike,23-06-2023 01:09,03-01-2021 07:39,1
13-Jul-23,925,Nike,Bike,13-07-2023 01:11,03-01-2021 08:51,1
02-Aug-23,945,Nike,Bike,02-08-2023 01:12,03-01-2021 10:03,1
22-Aug-23,965,Nike,Bike,22-08-2023 01:13,03-01-2021 11:15,1
30-Aug-23,973,Nike,Bike,30-08-2023 01:14,03-01-2021 11:44,1
19-Sep-23,993,Nike,Bike,19-09-2023 01:15,03-01-2021 12:56,1
09-Oct-23,1013,Nike,Bike,09-10-2023 01:17,03-01-2021 14:08,1
29-Oct-23,1033,Nike,Bike,29-10-2023 01:18,03-01-2021 15:20,1
18-Nov-23,1053,Nike,Bike,18-11-2023 01:20,03-01-2021 16:32,1
08-Dec-23,1073,Nike,Bike,08-12-2023 01:21,03-01-2021 17:44,1
16-Dec-23,1081,Nike,Bike,16-12-2023 01:22,03-01-2021 18:13,1
05-Jan-24,1101,Nike,Bike,05-01-2024 01:23,03-01-2021 19:25,1
25-Jan-24,1121,Nike,Bike,25-01-2024 01:25,03-01-2021 20:37,1
14-Feb-24,1141,Nike,Bike,14-02-2024 01:26,03-01-2021 21:49,1
05-Mar-24,1161,Nike,Bike,05-03-2024 01:28,03-01-2021 23:01,1
25-Mar-24,1181,Nike,Bike,25-03-2024 01:29,04-01-2021 00:13,1
02-Apr-24,1189,Nike,Bike,02-04-2024 01:30,04-01-2021 00:41,1
22-Apr-24,1209,Nike,Bike,22-04-2024 01:31,04-01-2021 01:53,1
12-May-24,1229,Nike,Bike,12-05-2024 01:32,04-01-2021 03:05,1
01-Jun-24,1249,Nike,Bike,01-06-2024 01:34,04-01-2021 04:17,1
21-Jun-24,1269,Nike,Bike,21-06-2024 01:35,04-01-2021 05:29,1
11-Jul-24,1289,Nike,Bike,11-07-2024 01:37,04-01-2021 06:41,1
19-Jul-24,1297,Nike,Bike,19-07-2024 01:37,04-01-2021 07:10,1
08-Aug-24,1317,Nike,Bike,08-08-2024 01:39,04-01-2021 08:22,1
28-Aug-24,1337,Nike,Bike,28-08-2024 01:40,04-01-2021 09:34,1
17-Sep-24,1357,Nike,Bike,17-09-2024 01:42,04-01-2021 10:46,1
07-Oct-24,1377,Nike,Bike,07-10-2024 01:43,04-01-2021 11:58,1
27-Oct-24,1397,Nike,Bike,27-10-2024 01:45,04-01-2021 13:10,1
04-Nov-24,1405,Nike,Bike,04-11-2024 01:45,04-01-2021 13:39,1
24-Nov-24,1425,Nike,Bike,24-11-2024 01:47,04-01-2021 14:51,1
14-Dec-24,1445,Nike,Bike,14-12-2024 01:48,04-01-2021 16:03,1
03-Jan-25,1465,Nike,Bike,03-01-2025 01:49,04-01-2021 17:15,1
23-Jan-25,1485,Nike,Bike,23-01-2025 01:51,04-01-2021 18:27,1
12-Feb-25,1505,Nike,Bike,12-02-2025 01:52,04-01-2021 19:39,1
20-Feb-25,1513,Nike,Bike,20-02-2025 01:53,04-01-2021 20:08,1
12-Mar-25,1533,Nike,Bike,12-03-2025 01:54,04-01-2021 21:20,1
01-Apr-25,1553,Nike,Bike,01-04-2025 01:56,04-01-2021 22:32,1
21-Apr-25,1573,Nike,Bike,21-04-2025 01:57,04-01-2021 23:44,1
11-May-25,1593,Nike,Bike,11-05-2025 01:59,05-01-2021 00:56,1
31-May-25,1613,Nike,Bike,31-05-2025 02:00,05-01-2021 02:08,1
08-Jun-25,1621,Nike,Bike,08-06-2025 02:01,05-01-2021 02:37,1
28-Jun-25,1641,Nike,Bike,28-06-2025 02:02,05-01-2021 03:49,1
18-Jul-25,1661,Nike,Bike,18-07-2025 02:04,05-01-2021 05:01,1
07-Aug-25,1681,Nike,Bike,07-08-2025 02:05,05-01-2021 06:13,1
27-Aug-25,1701,Nike,Bike,27-08-2025 02:06,05-01-2021 07:25,1
16-Sep-25,1721,Nike,Bike,16-09-2025 02:08,05-01-2021 08:37,1
24-Sep-25,1729,Nike,Bike,24-09-2025 02:08,05-01-2021 09:05,1
14-Oct-25,1749,Nike,Bike,14-10-2025 02:10,05-01-2021 10:17,1
03-Nov-25,1769,Nike,Bike,03-11-2025 02:11,05-01-2021 11:29,1
23-Nov-25,1789,Nike,Bike,23-11-2025 02:13,05-01-2021 12:41,1
13-Dec-25,1809,Nike,Bike,13-12-2025 02:14,05-01-2021 13:53,1
02-Jan-26,1829,Nike,Bike,02-01-2026 02:16,05-01-2021 15:05,1
10-Jan-26,1837,Nike,Bike,10-01-2026 02:16,05-01-2021 15:34,1
30-Jan-26,1857,Nike,Bike,30-01-2026 02:18,05-01-2021 16:46,1
19-Feb-26,1877,Nike,Bike,19-02-2026 02:19,05-01-2021 17:58,1
11-Mar-26,1897,Nike,Bike,11-03-2026 02:21,05-01-2021 19:10,1
31-Mar-26,1917,Nike,Bike,31-03-2026 02:22,05-01-2021 20:22,1
20-Apr-26,1937,Nike,Bike,20-04-2026 02:23,05-01-2021 21:34,1
28-Apr-26,1945,Nike,Bike,28-04-2026 02:24,05-01-2021 22:03,1
18-May-26,1965,Nike,Bike,18-05-2026 02:25,05-01-2021 23:15,1
07-Jun-26,1985,Nike,Bike,07-06-2026 02:27,06-01-2021 00:27,1
27-Jun-26,2005,Nike,Bike,27-06-2026 02:28,06-01-2021 01:39,1
17-Jul-26,2025,Nike,Bike,17-07-2026 02:30,06-01-2021 02:51,1
06-Aug-26,2045,Nike,Bike,06-08-2026 02:31,06-01-2021 04:03,1
14-Aug-26,2053,Nike,Bike,14-08-2026 02:32,06-01-2021 04:32,1
03-Sep-26,2073,Nike,Bike,03-09-2026 02:33,06-01-2021 05:44,1
23-Sep-26,2093,Nike,Bike,23-09-2026 02:35,06-01-2021 06:56,1
13-Oct-26,2113,Nike,Bike,13-10-2026 02:36,06-01-2021 08:08,1
02-Nov-26,2133,Nike,Bike,02-11-2026 02:38,06-01-2021 09:20,1
22-Nov-26,2153,Nike,Bike,22-11-2026 02:39,06-01-2021 10:32,1
30-Nov-26,2161,Nike,Bike,30-11-2026 02:40,06-01-2021 11:01,1
20-Dec-26,2181,Nike,Bike,20-12-2026 02:41,06-01-2021 12:13,1
09-Jan-27,2201,Nike,Bike,09-01-2027 02:42,06-01-2021 13:25,1
29-Jan-27,2221,Nike,Bike,29-01-2027 02:44,06-01-2021 14:37,1
18-Feb-27,2241,Nike,Bike,18-02-2027 02:45,06-01-2021 15:49,1
10-Mar-27,2261,Nike,Bike,10-03-2027 02:47,06-01-2021 17:01,1
18-Mar-27,2269,Nike,Bike,18-03-2027 02:47,06-01-2021 17:29,1
07-Apr-27,2289,Nike,Bike,07-04-2027 02:49,06-01-2021 18:41,1
27-Apr-27,2309,Nike,Bike,27-04-2027 02:50,06-01-2021 19:53,1
17-May-27,2329,Nike,Bike,17-05-2027 02:52,06-01-2021 21:05,1
06-Jun-27,2349,Nike,Bike,06-06-2027 02:53,06-01-2021 22:17,1
26-Jun-27,2369,Nike,Bike,26-06-2027 02:55,06-01-2021 23:29,1
04-Jul-27,2377,Nike,Bike,04-07-2027 02:55,06-01-2021 23:58,1
24-Jul-27,2397,Nike,Bike,24-07-2027 02:57,07-01-2021 01:10,1
13-Aug-27,2417,Nike,Bike,13-08-2027 02:58,07-01-2021 02:22,1
02-Sep-27,2437,Nike,Bike,02-09-2027 02:59,07-01-2021 03:34,1
22-Sep-27,2457,Nike,Bike,22-09-2027 03:01,07-01-2021 04:46,1
12-Oct-27,2477,Nike,Bike,12-10-2027 03:02,07-01-2021 05:58,1
20-Oct-27,2485,Nike,Bike,20-10-2027 03:03,07-01-2021 06:27,1
09-Nov-27,2505,Nike,Bike,09-11-2027 03:04,07-01-2021 07:39,1
05-Jan-21,6,Nike,Train,05-01-2021 00:04,01-01-2021 01:43,1
25-Jan-21,26,Nike,Train,25-01-2021 00:06,01-01-2021 02:55,1
14-Feb-21,46,Nike,Train,14-02-2021 00:07,01-01-2021 04:07,1
06-Mar-21,66,Nike,Train,06-03-2021 00:09,01-01-2021 05:19,1
26-Mar-21,86,Nike,Train,26-03-2021 00:10,01-01-2021 06:31,1
15-Apr-21,106,Nike,Train,15-04-2021 00:12,01-01-2021 07:43,1
23-Apr-21,114,Nike,Train,23-04-2021 00:12,01-01-2021 08:11,1
13-May-21,134,Nike,Train,13-05-2021 00:14,01-01-2021 09:23,1
02-Jun-21,154,Nike,Train,02-06-2021 00:15,01-01-2021 10:35,1
22-Jun-21,174,Nike,Train,22-06-2021 00:16,01-01-2021 11:47,1
12-Jul-21,194,Nike,Train,12-07-2021 00:18,01-01-2021 12:59,1
01-Aug-21,214,Nike,Train,01-08-2021 00:19,01-01-2021 14:11,1
09-Aug-21,222,Nike,Train,09-08-2021 00:20,01-01-2021 14:40,1
29-Aug-21,242,Nike,Train,29-08-2021 00:21,01-01-2021 15:52,1
18-Sep-21,262,Nike,Train,18-09-2021 00:23,01-01-2021 17:04,1
08-Oct-21,282,Nike,Train,08-10-2021 00:24,01-01-2021 18:16,1
28-Oct-21,302,Nike,Train,28-10-2021 00:26,01-01-2021 19:28,1
17-Nov-21,322,Nike,Train,17-11-2021 00:27,01-01-2021 20:40,1
25-Nov-21,330,Nike,Train,25-11-2021 00:28,01-01-2021 21:09,1
15-Dec-21,350,Nike,Train,15-12-2021 00:29,01-01-2021 22:21,1
04-Jan-22,370,Nike,Train,04-01-2022 00:31,01-01-2021 23:33,1
24-Jan-22,390,Nike,Train,24-01-2022 00:32,02-01-2021 00:45,1
13-Feb-22,410,Nike,Train,13-02-2022 00:33,02-01-2021 01:57,1
05-Mar-22,430,Nike,Train,05-03-2022 00:35,02-01-2021 03:09,1
13-Mar-22,438,Nike,Train,13-03-2022 00:36,02-01-2021 03:38,1
02-Apr-22,458,Nike,Train,02-04-2022 00:37,02-01-2021 04:50,1
22-Apr-22,478,Nike,Train,22-04-2022 00:38,02-01-2021 06:02,1
12-May-22,498,Nike,Train,12-05-2022 00:40,02-01-2021 07:14,1
01-Jun-22,518,Nike,Train,01-06-2022 00:41,02-01-2021 08:26,1
21-Jun-22,538,Nike,Train,21-06-2022 00:43,02-01-2021 09:38,1
29-Jun-22,546,Nike,Train,29-06-2022 00:43,02-01-2021 10:07,1
19-Jul-22,566,Nike,Train,19-07-2022 00:45,02-01-2021 11:19,1
08-Aug-22,586,Nike,Train,08-08-2022 00:46,02-01-2021 12:31,1
28-Aug-22,606,Nike,Train,28-08-2022 00:48,02-01-2021 13:43,1
17-Sep-22,626,Nike,Train,17-09-2022 00:49,02-01-2021 14:55,1
07-Oct-22,646,Nike,Train,07-10-2022 00:50,02-01-2021 16:07,1
15-Oct-22,654,Nike,Train,15-10-2022 00:51,02-01-2021 16:35,1
04-Nov-22,674,Nike,Train,04-11-2022 00:52,02-01-2021 17:47,1
24-Nov-22,694,Nike,Train,24-11-2022 00:54,02-01-2021 18:59,1
14-Dec-22,714,Nike,Train,14-12-2022 00:55,02-01-2021 20:11,1
03-Jan-23,734,Nike,Train,03-01-2023 00:57,02-01-2021 21:23,1
23-Jan-23,754,Nike,Train,23-01-2023 00:58,02-01-2021 22:35,1
31-Jan-23,762,Nike,Train,31-01-2023 00:59,02-01-2021 23:04,1
20-Feb-23,782,Nike,Train,20-02-2023 01:00,03-01-2021 00:16,1
12-Mar-23,802,Nike,Train,12-03-2023 01:02,03-01-2021 01:28,1
01-Apr-23,822,Nike,Train,01-04-2023 01:03,03-01-2021 02:40,1
21-Apr-23,842,Nike,Train,21-04-2023 01:05,03-01-2021 03:52,1
11-May-23,862,Nike,Train,11-05-2023 01:06,03-01-2021 05:04,1
19-May-23,870,Nike,Train,19-05-2023 01:07,03-01-2021 05:33,1
08-Jun-23,890,Nike,Train,08-06-2023 01:08,03-01-2021 06:45,1
28-Jun-23,910,Nike,Train,28-06-2023 01:09,03-01-2021 07:57,1
18-Jul-23,930,Nike,Train,18-07-2023 01:11,03-01-2021 09:09,1
07-Aug-23,950,Nike,Train,07-08-2023 01:12,03-01-2021 10:21,1
27-Aug-23,970,Nike,Train,27-08-2023 01:14,03-01-2021 11:33,1
04-Sep-23,978,Nike,Train,04-09-2023 01:14,03-01-2021 12:02,1
24-Sep-23,998,Nike,Train,24-09-2023 01:16,03-01-2021 13:14,1
14-Oct-23,1018,Nike,Train,14-10-2023 01:17,03-01-2021 14:26,1
03-Nov-23,1038,Nike,Train,03-11-2023 01:19,03-01-2021 15:38,1
23-Nov-23,1058,Nike,Train,23-11-2023 01:20,03-01-2021 16:50,1
13-Dec-23,1078,Nike,Train,13-12-2023 01:22,03-01-2021 18:02,1
21-Dec-23,1086,Nike,Train,21-12-2023 01:22,03-01-2021 18:31,1
10-Jan-24,1106,Nike,Train,10-01-2024 01:24,03-01-2021 19:43,1
30-Jan-24,1126,Nike,Train,30-01-2024 01:25,03-01-2021 20:55,1
19-Feb-24,1146,Nike,Train,19-02-2024 01:26,03-01-2021 22:07,1
10-Mar-24,1166,Nike,Train,10-03-2024 01:28,03-01-2021 23:19,1
30-Mar-24,1186,Nike,Train,30-03-2024 01:29,04-01-2021 00:31,1
07-Apr-24,1194,Nike,Train,07-04-2024 01:30,04-01-2021 00:59,1
27-Apr-24,1214,Nike,Train,27-04-2024 01:31,04-01-2021 02:11,1
17-May-24,1234,Nike,Train,17-05-2024 01:33,04-01-2021 03:23,1
06-Jun-24,1254,Nike,Train,06-06-2024 01:34,04-01-2021 04:35,1
26-Jun-24,1274,Nike,Train,26-06-2024 01:36,04-01-2021 05:47,1
16-Jul-24,1294,Nike,Train,16-07-2024 01:37,04-01-2021 06:59,1
24-Jul-24,1302,Nike,Train,24-07-2024 01:38,04-01-2021 07:28,1
13-Aug-24,1322,Nike,Train,13-08-2024 01:39,04-01-2021 08:40,1
02-Sep-24,1342,Nike,Train,02-09-2024 01:41,04-01-2021 09:52,1
22-Sep-24,1362,Nike,Train,22-09-2024 01:42,04-01-2021 11:04,1
12-Oct-24,1382,Nike,Train,12-10-2024 01:43,04-01-2021 12:16,1
01-Nov-24,1402,Nike,Train,01-11-2024 01:45,04-01-2021 13:28,1
09-Nov-24,1410,Nike,Train,09-11-2024 01:45,04-01-2021 13:57,1
29-Nov-24,1430,Nike,Train,29-11-2024 01:47,04-01-2021 15:09,1
19-Dec-24,1450,Nike,Train,19-12-2024 01:48,04-01-2021 16:21,1
08-Jan-25,1470,Nike,Train,08-01-2025 01:50,04-01-2021 17:33,1
28-Jan-25,1490,Nike,Train,28-01-2025 01:51,04-01-2021 18:45,1
17-Feb-25,1510,Nike,Train,17-02-2025 01:53,04-01-2021 19:57,1
25-Feb-25,1518,Nike,Train,25-02-2025 01:53,04-01-2021 20:26,1
17-Mar-25,1538,Nike,Train,17-03-2025 01:55,04-01-2021 21:38,1
06-Apr-25,1558,Nike,Train,06-04-2025 01:56,04-01-2021 22:50,1
26-Apr-25,1578,Nike,Train,26-04-2025 01:58,05-01-2021 00:02,1
16-May-25,1598,Nike,Train,16-05-2025 01:59,05-01-2021 01:14,1
05-Jun-25,1618,Nike,Train,05-06-2025 02:00,05-01-2021 02:26,1
13-Jun-25,1626,Nike,Train,13-06-2025 02:01,05-01-2021 02:55,1
03-Jul-25,1646,Nike,Train,03-07-2025 02:02,05-01-2021 04:07,1
23-Jul-25,1666,Nike,Train,23-07-2025 02:04,05-01-2021 05:19,1
12-Aug-25,1686,Nike,Train,12-08-2025 02:05,05-01-2021 06:31,1
01-Sep-25,1706,Nike,Train,01-09-2025 02:07,05-01-2021 07:43,1
21-Sep-25,1726,Nike,Train,21-09-2025 02:08,05-01-2021 08:55,1
29-Sep-25,1734,Nike,Train,29-09-2025 02:09,05-01-2021 09:23,1
19-Oct-25,1754,Nike,Train,19-10-2025 02:10,05-01-2021 10:35,1
08-Nov-25,1774,Nike,Train,08-11-2025 02:12,05-01-2021 11:47,1
28-Nov-25,1794,Nike,Train,28-11-2025 02:13,05-01-2021 12:59,1
18-Dec-25,1814,Nike,Train,18-12-2025 02:15,05-01-2021 14:11,1
07-Jan-26,1834,Nike,Train,07-01-2026 02:16,05-01-2021 15:23,1
15-Jan-26,1842,Nike,Train,15-01-2026 02:17,05-01-2021 15:52,1
04-Feb-26,1862,Nike,Train,04-02-2026 02:18,05-01-2021 17:04,1
24-Feb-26,1882,Nike,Train,24-02-2026 02:19,05-01-2021 18:16,1
16-Mar-26,1902,Nike,Train,16-03-2026 02:21,05-01-2021 19:28,1
05-Apr-26,1922,Nike,Train,05-04-2026 02:22,05-01-2021 20:40,1
25-Apr-26,1942,Nike,Train,25-04-2026 02:24,05-01-2021 21:52,1
03-May-26,1950,Nike,Train,03-05-2026 02:24,05-01-2021 22:21,1
23-May-26,1970,Nike,Train,23-05-2026 02:26,05-01-2021 23:33,1
12-Jun-26,1990,Nike,Train,12-06-2026 02:27,06-01-2021 00:45,1
02-Jul-26,2010,Nike,Train,02-07-2026 02:29,06-01-2021 01:57,1
22-Jul-26,2030,Nike,Train,22-07-2026 02:30,06-01-2021 03:09,1
11-Aug-26,2050,Nike,Train,11-08-2026 02:32,06-01-2021 04:21,1
19-Aug-26,2058,Nike,Train,19-08-2026 02:32,06-01-2021 04:50,1
08-Sep-26,2078,Nike,Train,08-09-2026 02:34,06-01-2021 06:02,1
28-Sep-26,2098,Nike,Train,28-09-2026 02:35,06-01-2021 07:14,1
18-Oct-26,2118,Nike,Train,18-10-2026 02:36,06-01-2021 08:26,1
07-Nov-26,2138,Nike,Train,07-11-2026 02:38,06-01-2021 09:38,1
27-Nov-26,2158,Nike,Train,27-11-2026 02:39,06-01-2021 10:50,1
05-Dec-26,2166,Nike,Train,05-12-2026 02:40,06-01-2021 11:19,1
25-Dec-26,2186,Nike,Train,25-12-2026 02:41,06-01-2021 12:31,1
14-Jan-27,2206,Nike,Train,14-01-2027 02:43,06-01-2021 13:43,1
03-Feb-27,2226,Nike,Train,03-02-2027 02:44,06-01-2021 14:55,1
23-Feb-27,2246,Nike,Train,23-02-2027 02:46,06-01-2021 16:07,1
15-Mar-27,2266,Nike,Train,15-03-2027 02:47,06-01-2021 17:19,1
23-Mar-27,2274,Nike,Train,23-03-2027 02:48,06-01-2021 17:47,1
12-Apr-27,2294,Nike,Train,12-04-2027 02:49,06-01-2021 18:59,1
02-May-27,2314,Nike,Train,02-05-2027 02:51,06-01-2021 20:11,1
22-May-27,2334,Nike,Train,22-05-2027 02:52,06-01-2021 21:23,1
11-Jun-27,2354,Nike,Train,11-06-2027 02:53,06-01-2021 22:35,1
01-Jul-27,2374,Nike,Train,01-07-2027 02:55,06-01-2021 23:47,1
09-Jul-27,2382,Nike,Train,09-07-2027 02:55,07-01-2021 00:16,1
29-Jul-27,2402,Nike,Train,29-07-2027 02:57,07-01-2021 01:28,1
18-Aug-27,2422,Nike,Train,18-08-2027 02:58,07-01-2021 02:40,1
07-Sep-27,2442,Nike,Train,07-09-2027 03:00,07-01-2021 03:52,1
27-Sep-27,2462,Nike,Train,27-09-2027 03:01,07-01-2021 05:04,1
17-Oct-27,2482,Nike,Train,17-10-2027 03:03,07-01-2021 06:16,1
25-Oct-27,2490,Nike,Train,25-10-2027 03:03,07-01-2021 06:45,1
10-Jan-21,11,Nike,Plane,10-01-2021 00:05,01-01-2021 02:01,1
30-Jan-21,31,Nike,Plane,30-01-2021 00:06,01-01-2021 03:13,1
19-Feb-21,51,Nike,Plane,19-02-2021 00:08,01-01-2021 04:25,1
11-Mar-21,71,Nike,Plane,11-03-2021 00:09,01-01-2021 05:37,1
31-Mar-21,91,Nike,Plane,31-03-2021 00:11,01-01-2021 06:49,1
28-Apr-21,119,Nike,Plane,28-04-2021 00:13,01-01-2021 08:29,1
18-May-21,139,Nike,Plane,18-05-2021 00:14,01-01-2021 09:41,1
07-Jun-21,159,Nike,Plane,07-06-2021 00:15,01-01-2021 10:53,1
27-Jun-21,179,Nike,Plane,27-06-2021 00:17,01-01-2021 12:05,1
17-Jul-21,199,Nike,Plane,17-07-2021 00:18,01-01-2021 13:17,1
14-Aug-21,227,Nike,Plane,14-08-2021 00:20,01-01-2021 14:58,1
03-Sep-21,247,Nike,Plane,03-09-2021 00:22,01-01-2021 16:10,1
23-Sep-21,267,Nike,Plane,23-09-2021 00:23,01-01-2021 17:22,1
13-Oct-21,287,Nike,Plane,13-10-2021 00:25,01-01-2021 18:34,1
02-Nov-21,307,Nike,Plane,02-11-2021 00:26,01-01-2021 19:46,1
30-Nov-21,335,Nike,Plane,30-11-2021 00:28,01-01-2021 21:27,1
20-Dec-21,355,Nike,Plane,20-12-2021 00:30,01-01-2021 22:39,1
09-Jan-22,375,Nike,Plane,09-01-2022 00:31,01-01-2021 23:51,1
29-Jan-22,395,Nike,Plane,29-01-2022 00:32,02-01-2021 01:03,1
18-Feb-22,415,Nike,Plane,18-02-2022 00:34,02-01-2021 02:15,1
18-Mar-22,443,Nike,Plane,18-03-2022 00:36,02-01-2021 03:56,1
07-Apr-22,463,Nike,Plane,07-04-2022 00:37,02-01-2021 05:08,1
27-Apr-22,483,Nike,Plane,27-04-2022 00:39,02-01-2021 06:20,1
17-May-22,503,Nike,Plane,17-05-2022 00:40,02-01-2021 07:32,1
06-Jun-22,523,Nike,Plane,06-06-2022 00:42,02-01-2021 08:44,1
04-Jul-22,551,Nike,Plane,04-07-2022 00:44,02-01-2021 10:25,1
24-Jul-22,571,Nike,Plane,24-07-2022 00:45,02-01-2021 11:37,1
13-Aug-22,591,Nike,Plane,13-08-2022 00:47,02-01-2021 12:49,1
02-Sep-22,611,Nike,Plane,02-09-2022 00:48,02-01-2021 14:01,1
22-Sep-22,631,Nike,Plane,22-09-2022 00:49,02-01-2021 15:13,1
20-Oct-22,659,Nike,Plane,20-10-2022 00:51,02-01-2021 16:53,1
09-Nov-22,679,Nike,Plane,09-11-2022 00:53,02-01-2021 18:05,1
29-Nov-22,699,Nike,Plane,29-11-2022 00:54,02-01-2021 19:17,1
19-Dec-22,719,Nike,Plane,19-12-2022 00:56,02-01-2021 20:29,1
08-Jan-23,739,Nike,Plane,08-01-2023 00:57,02-01-2021 21:41,1
05-Feb-23,767,Nike,Plane,05-02-2023 00:59,02-01-2021 23:22,1
25-Feb-23,787,Nike,Plane,25-02-2023 01:01,03-01-2021 00:34,1
17-Mar-23,807,Nike,Plane,17-03-2023 01:02,03-01-2021 01:46,1
06-Apr-23,827,Nike,Plane,06-04-2023 01:04,03-01-2021 02:58,1
26-Apr-23,847,Nike,Plane,26-04-2023 01:05,03-01-2021 04:10,1
24-May-23,875,Nike,Plane,24-05-2023 01:07,03-01-2021 05:51,1
13-Jun-23,895,Nike,Plane,13-06-2023 01:08,03-01-2021 07:03,1
03-Jul-23,915,Nike,Plane,03-07-2023 01:10,03-01-2021 08:15,1
23-Jul-23,935,Nike,Plane,23-07-2023 01:11,03-01-2021 09:27,1
12-Aug-23,955,Nike,Plane,12-08-2023 01:13,03-01-2021 10:39,1
09-Sep-23,983,Nike,Plane,09-09-2023 01:15,03-01-2021 12:20,1
29-Sep-23,1003,Nike,Plane,29-09-2023 01:16,03-01-2021 13:32,1
19-Oct-23,1023,Nike,Plane,19-10-2023 01:18,03-01-2021 14:44,1
08-Nov-23,1043,Nike,Plane,08-11-2023 01:19,03-01-2021 15:56,1
28-Nov-23,1063,Nike,Plane,28-11-2023 01:21,03-01-2021 17:08,1
26-Dec-23,1091,Nike,Plane,26-12-2023 01:23,03-01-2021 18:49,1
15-Jan-24,1111,Nike,Plane,15-01-2024 01:24,03-01-2021 20:01,1
04-Feb-24,1131,Nike,Plane,04-02-2024 01:25,03-01-2021 21:13,1
